"","EE_50.300","EE_50.330","EE_50.360","EE_50.390","EE_50.420","EE_50.450","YA","AdultSPE9"
"Y74C9A.6",0,0,0,0,0,0,6.16753456035194,5.34597112461654
"Y74C9A.3",6.40472944891099,5.47430299506467,6.24630166745966,6.00115819942749,5.535779259714,5.37316792899759,4.92634106902995,5.24004332147926
"Y74C9A.2",2.86229664914856,2.56938901086801,1.8878878485244,1.88339403338798,2.49343726720266,2.80908305967233,7.99804878859449,7.85962174923233
"Y74C9A.4",4.84503835396662,4.98167915421347,5.4438983434094,4.9923877700532,4.73290953147298,4.66491512899623,5.23884416889802,5.89357578372252
"Y74C9A.5",4.82677726660172,5.07541282945208,4.26852422235141,4.24341012808616,4.59999612939359,5.16681183562429,4.55534990275871,3.11744736984343
"Y48G1C.12",5.73638028227365,5.28421798317836,5.15539709570774,5.39908904247952,5.38202045396064,5.30033608536612,4.39527534824307,4.55780217348035
"Y48G1C.4",3.88926909757442,3.81981121982319,3.41235068446513,3.78245050312714,3.67919857056692,3.74390267928631,4.62879108937659,4.09562910131617
"Y48G1C.2",6.19786342604202,6.34143431608963,5.77917565703236,5.77331067114058,6.04003979664849,6.27114924262827,5.19699646254405,5.72325000361109
"Y48G1C.10",3.09639174374764,3.11886135902554,2.26239707476976,2.14765837389255,2.45610433998631,2.69162795938059,2.69515867847536,3.60821785302146
"Y48G1C.11",4.37450397045696,4.58773101936449,4.24622564851987,4.03499919310301,4.22956485173996,4.37729730642785,3.55380282922981,3.76634073311638
"Y48G1C.6",3.47034162927919,3.27752658169788,2.87099197058829,3.24123613827344,3.40772663401428,3.22936488761124,3.00806014151895,2.32234064667696
"Y48G1C.9",7.44228833039342,6.64824971292734,6.37589262872736,7.11147999757774,7.2862158173791,6.87323492194942,6.61965070114332,7.84882947200704
"Y48G1C.1",2.45586769811703,2.60736345836263,3.23633188478134,2.38868550749531,2.54887799719432,2.62491503287223,4.44605106141959,5.08080687054189
"Y48G1C.13",1.94777087227273,0,0,0,0,2.72475721490532,5.05334597259572,7.09113914721355
"Y48G1C.7",6.22347854209809,6.15341016183153,6.55704394743691,5.89196106787399,5.80453117638823,5.66587878006726,5.3507694947237,5.93396913607284
"Y48G1C.8",5.73259482754501,5.71632150417319,6.0863315795188,5.41357377405902,5.50749021528257,5.26497922988307,4.78669567443544,5.76052169839958
"F53G12.1",10.0546178834356,10.1020806858744,10.6934782455464,10.5432445344047,10.6173388934891,10.0669233437812,9.18002848052637,9.76866238646353
"F53G12.15",0,0,0,0,0,0,0,4.14572787409285e-07
"F53G12.10",10.5892110620928,10.2995858176169,10.1596443214469,10.4250899898741,10.5221499331758,10.4459459840103,11.9482796158651,11.1850922266328
"F53G12.13",0,0.237088860129883,0,0,0.300721184166311,0,1.15674608316111,2.38096489219093
"F53G12.17",2.24546809340517e-07,0,0,0,0,5.78330283407659e-10,2.61308840400417,2.61778456775199e-08
"F53G12.12",8.47925481721837,0,0,0,0,12.71774495802,4.72905238989386,3.20025323159369
"F53G12.8",0.587064418165033,0,0,0.513333076428891,1.25619547654174,0.248174117286721,4.2125304306929,1.26191588369377
"F53G12.7",0.133463704098555,0.148675144363594,0,0,0.151373075247215,0.093272960670321,0.579697648702822,0.447820374899575
"F53G12.6",0,0.0982343914851281,0,0,0,0.0601929605151074,2.513124340428,0.324523763677639
"F53G12.5",5.55323453851635,5.45251307170148,6.72411816617991,5.80649420081046,5.91470562900599,5.91602513444989,7.69799616602105,8.77944359185362
"F53G12.4",1.14411164845841,1.6732579044786,0.292151536622931,0.740681515053647,0.884608079402794,0.873592742437633,0.766371266919175,0.81190993763501
"F56C11.1",3.75424616183689,4.20701041439887,3.81389403761563,3.67941253757036,3.90787129483636,4.17655415981503,3.00747540015418,2.28071584461792
"F56C11.2",2.19377174339668,2.9023765617029,0.945646653923538,1.7122127716593,2.28612412557959,3.10520704688856,2.36742418716234,1.98734633573037
"F56C11.6",2.32163086909363,2.75180432323669,1.81532539470417,2.02476646245318,2.25109795632371,2.72411762032987,2.35485551715406,2.78959780679422
"F56C11.5",5.61041955019626,5.30488699886528,4.79273043829333,4.90412759498264,4.98229543792585,5.45188695917962,5.15936680974374,5.9661443364117
"F56C11.3",4.94577155137433,4.39040630408583,3.83590386829998,4.25024156180903,4.19484351199952,4.07435129404382,4.61312495361398,5.20503273281206
"F56C11.4",3.59043435193122,3.46539988329661,4.50229240773071,3.45608725048503,2.94101050379774,3.34376170112448,3.17146785985394,4.22135124430149
"K10E9.1",3.55040819321728,3.39985604040745,3.85401560132665,3.20407027096655,2.97250150722197,3.12551390026104,3.1678155222208,4.15466421337316
"Y48G1BL.2",3.63267537035077,3.51351601147968,4.23391872938572,3.54799265022235,3.12595025465189,3.10027126046305,3.30196509754791,3.76332658256796
"Y48G1BL.3",0.41565592221268,0.805778638265279,1.17872738718245,0.883555131113729,1.39037053241086,0.708860851538307,4.21627636036376,4.13453310650664
"Y48G1BL.1",1.32051356051218,1.01796465388372,0.582965390928292,0.560912516810017,0.553376232803688,0.84562332471981,2.28874244224324,2.03310226909754
"Y48G1BL.4",2.44532148429351,0,0,7.37909239917351,6.11017320472032,5.89945601982818,4.65997021258636,5.77151059806044
"Y48G1BL.5",1.39405310830104,1.06502076994841,0.559468318743348,1.49408274084529,2.17269871982053,1.18201845879123,3.88680374282413,3.98685687299395
"Y48G1BL.6",0.448465434604639,0,0,0,0.674888153850385,1.11265343203843,4.19096245569146,5.03010208498614
"Y48G1BM.9",1.88336666062725,2.51238872227902,0.153359166335919,0.807626947475153,1.22971096184702,2.55028997505539,3.06501387434336,2.48888514694265
"Y48G1BR.1",1.98088444445973,2.81486620273996,1.07032749677897,2.21493609316004,2.4332612729887,3.40035758143162,3.14142625104575,2.86244544001028
"C53D5.3",5.8664406828647,6.12444187511034,6.17006525664233,7.15414975866639,7.57966289701601,4.539686151615,1.07896499998144,2.93819732646216
"C53D5.2",4.15897517514673,4.88650137384808,3.35240402137257,3.91070388445418,4.37314704352943,4.80422397035272,1.64601054391105,1.610284294426
"C53D5.4",4.44434902406422,4.04058562812159,3.73325671133033,3.54773360200284,3.40983487844126,4.0437906843416,3.00426766569544,3.54065967401973
"C53D5.1",4.98339952503327,5.22271570337652,4.59413048959312,4.88940539743127,4.8870377914192,5.00264851955481,4.43602854647554,4.6758667293991
"C53D5.5",4.10161646211848,4.36650406979486,4.34066195823054,3.96950049334628,3.97079844811685,3.92469850838293,3.45135092281699,2.99740984202736
"C53D5.6",6.54837959395717,6.55859520376087,7.22935719612968,6.43682978415784,6.52913847156614,6.31564773825754,7.57018966745085,8.37100119154167
"Y48G1A.5",4.24852724618268,4.24225951071219,4.99444848187187,4.03168631744121,4.14855996372876,3.88663793542661,6.05081727967674,7.07531869255335
"Y48G1A.4",4.58080877863789,4.41387160121418,4.14603604668215,3.99482407470173,3.69180213291815,4.06235488730483,4.26843439357638,4.05739828223666
"Y48G1A.3",5.23543221145643,5.30573345606407,4.906505825626,4.67866914738872,4.88522292088217,5.07523310822392,4.40057891465613,4.44263170736958
"Y48G1A.6",1.71266620777652,1.34982383225603,2.1331031576162,1.42659217576825,1.50237643316369,1.82576120928849,3.670262507814,4.72404447455583
"Y48G1A.2",3.70228075355146,2.98578274830035,3.64303650617931,3.29889727879287,3.37987876115544,3.3491302826159,5.69600216201538,6.26928567081419
"Y48G1A.1",1.19205525579132,1.20110059271843,0.658259933637007,0.713129181871351,0.99907204872039,1.03196679681379,2.60409505201058,2.27901657447196
"R119.7",2.50051399507935,2.31641513609332,3.62708148944112,2.78616348844428,2.58295816744254,2.36443796124864,6.08881367443831,6.85566585164883
"R119.2",1.72306920719514,1.86427530416779,1.43976141690628,1.40088216800985,1.65209636955975,1.88360908701002,3.33589623656005,3.79884891004261
"R119.3",3.97920223563094,3.58704088826047,4.22359245048114,4.15904785764215,4.15399984364613,3.94383695595544,5.02209700485183,4.0958991093372
"R119.4",8.3794563484794,8.38295251299019,9.32257265522553,8.5611962819459,8.59432460392485,8.15105714187524,8.30291761229988,9.52595140006704
"R119.6",4.95279016114373,4.80412585716498,4.78036784768906,4.55026657656245,4.42470042809041,4.37134976122151,3.99665990424203,4.70549139374708
"R119.5",5.11039665416022,5.24368431204188,5.04856316179805,4.93922187532471,5.08092196269365,4.81527312799042,2.55684138002839,2.72944400683366
"Y50C1A.1",5.96359203173206,6.1097721619276,5.54838730094552,5.6235215941969,5.67925769620128,5.97817732125278,4.81615423510992,5.01181763304537
"Y50C1A.2",1.90945054943442,2.66294375179675,0.926097366631326,1.5405976858081,1.7432822912854,2.59244268499732,0.395866754531133,0.395586024424731
"C07F11.2",0.326004580079881,0.438321598721596,0.676513855141435,0.122764279847263,0.504025396352643,0.174830790980969,1.02505715185491,0.397997863093199
"C07F11.1",6.27930227795758,6.59678460540234,5.78332830432098,5.66224823287857,5.94105230279696,6.25927625386046,4.40198536304195,5.22925720313777
