"","EE_50.0","EE_50.30","EE_50.60","EE_50.90","EE_50.120","EE_50.150","EE_50.180","EE_50.210","EE_50.240","YA","AdultSPE9"
"Y74C9A.6",4.94115796902368,4.5572752869167,6.67956454747524,6.12929332187274,7.38401525908647,9.56434386908885,0,11.0517391460818,0,6.16753456035194,5.34597112461654
"Y74C9A.3",5.81945871185712,6.06120159682643,6.05499603753384,6.35991468126395,6.22503579785013,7.93493514320987,7.15126013965112,7.09217571808138,7.80054403438688,4.92634106902995,5.24004332147926
"Y74C9A.2",2.78371436770974,3.10230875196277,2.58652937814962,3.84927873253078,2.90145390764178,5.10948175407076,4.37662378742301,3.74658149978581,3.83557042918804,7.99804878859449,7.85962174923233
"Y74C9A.4",5.04342325245727,5.42264677410698,4.84667382959784,5.07635813676996,5.2118766166974,3.57365324604245,2.49684067825665,3.09771023129245,0.973204949504435,5.23884416889802,5.89357578372252
"Y74C9A.5",2.47436335503132,2.45723442680565,3.12619977682109,3.15816572928034,2.95074460875336,2.4415365969789,2.28229449027407,2.36334772284004,2.20888241333043,4.55534990275871,3.11744736984343
"Y48G1C.12",4.3483669927239,4.52920251612376,4.48608361913596,4.4654847790185,4.47259174573693,5.12947673727238,4.88130243195766,5.00547634255792,5.55907876886165,4.39527534824307,4.55780217348035
"Y48G1C.4",4.46266749312812,4.51692915278385,4.12484919793272,4.15170460503251,4.03808494731697,3.62905347654775,2.11494998251968,1.9970141403058,1.41857857302741,4.62879108937659,4.09562910131617
"Y48G1C.2",5.70829485462832,5.41996017784789,5.93232342991691,5.22358858932728,5.2538153459684,4.16726960332156,4.26098913878607,4.720059526764,3.13865558024969,5.19699646254405,5.72325000361109
"Y48G1C.10",2.05769979785424,1.66962096089715,2.11569249584797,1.5521015898947,1.82938278974503,0.874394882788699,0.658960004412229,1.32833097296157,0.945932759834073,2.69515867847536,3.60821785302146
"Y48G1C.11",3.66510847935065,3.30382019347695,3.36052581562953,3.08755958343882,3.35928641821192,2.12225194042938,2.21261913976181,2.07406351764215,1.46535286197784,3.55380282922981,3.76634073311638
"Y48G1C.6",2.34658819292364,3.13645390926865,4.44898021792578,3.90119514973668,3.98211742744846,6.85591497014663,5.00057245600513,4.55515967762294,2.70777213932806,3.00806014151895,2.32234064667696
"Y48G1C.9",8.28281970421685,8.33670738504885,7.99745049016637,7.82035130949247,7.65258687776061,8.03269596438524,8.39046993420018,7.95141877736797,8.22661930942938,6.61965070114332,7.84882947200704
"Y48G1C.1",6.09756655442373,5.7234329618114,5.72532671745427,5.06262256073799,5.34473619564165,1.86367287497125,1.8843009511638,1.75618214064938,1.2897164484863,4.44605106141959,5.08080687054189
"Y48G1C.13",0,0,0,0,0,0,0,0,1.63109496711359,5.05334597259572,7.09113914721355
"Y48G1C.7",6.2677455204213,6.27480769440714,6.05934446082443,5.92859535641811,5.95353531157944,4.3165150597125,3.39113392754584,3.71263979793085,2.68656775800694,5.3507694947237,5.93396913607284
"Y48G1C.8",6.04609593255683,5.68868112971938,5.97479772790686,5.57125813712512,5.40642442296721,3.82129183403113,3.49653904584452,3.47073207448885,2.22503734076439,4.78669567443544,5.76052169839958
"F53G12.1",8.77530409735547,8.90888194317571,8.5913839608891,8.58650205648669,8.67091113222868,8.52890726267625,9.47868469309148,9.674686619928,9.84397756489538,9.18002848052637,9.76866238646353
"F53G12.15",0,0,0,0,0,0,0,0,0,0,4.14572787409285e-07
"F53G12.10",9.82438441133,9.83475229279636,9.85564872317164,10.3254403851826,9.97586229459941,10.6142589314562,12.6788993858619,11.9393441328345,12.9462063171954,11.9482796158651,11.1850922266328
"F53G12.13",1.43257998202392,1.3056729070855,0.972633842307065,1.23329908484832,1.00658527744987,1.11759531375921,0.800766156537891,0.850814621939672,0.714054684581341,1.15674608316111,2.38096489219093
"F53G12.17",3.56799561118053,0,0,0,4.32060742462612,0,11.0567799456412,1.22659200831021e-12,11.3710850738155,2.61308840400417,2.61778456775199e-08
"F53G12.12",0,0,0,0,5.26300810646574,0,14.0570525149659,13.3607236544191,15.645219343229,4.72905238989386,3.20025323159369
"F53G12.8",1.24576945074403,1.41344243982592,0.957704399178408,0.627246352781849,0.991145029548742,2.51748735695417,0,1.4395912250558,0.421485620293672,4.2125304306929,1.26191588369377
"F53G12.7",0.790502654044053,0.299255209773224,0,0.303600747045622,0.193178776379402,0.257939921501527,0.322258145756338,0.152506650393072,0,0.579697648702822,0.447820374899575
"F53G12.6",0.113164655795943,0.105791906869439,0,0.142677444881094,0,0,0,0,0.115425767777855,2.513124340428,0.324523763677639
"F53G12.5",9.09153059312062,8.23124998631461,7.40409417165405,6.97112965377522,7.3910717018937,3.31801597731548,3.47174673778168,3.62161821345739,3.15654385588596,7.69799616602105,8.77944359185362
"F53G12.4",1.93111569975779,2.11337378908292,1.752033488179,1.89025211515707,1.61853468316232,0.357726524974207,0.612394021348447,0.892907000708678,0.455227518822779,0.766371266919175,0.81190993763501
"F56C11.1",0.53854908933401,0.867332714648061,1.38880120937816,1.73841333334374,1.25270630034731,1.27124039681308,1.05773445078429,1.09508724528545,0.479855524677896,3.00747540015418,2.28071584461792
"F56C11.2",0.987278657840269,0.797853855081307,1.31613994832573,2.88412703913603,1.41578570328267,0.605000234058459,0.551473689749592,0.38847832284552,0.338722193960484,2.36742418716234,1.98734633573037
"F56C11.6",1.37246740465355,2.00747181205228,2.19808234530556,3.17014138946975,2.581544075724,2.36514659469516,1.91794343468856,1.96014468808046,1.26415206145485,2.35485551715406,2.78959780679422
"F56C11.5",6.62760829716516,6.17351324683094,5.50752192920868,5.41612699880839,5.10055722078293,3.94903994301603,4.44730147416541,4.16675560852319,5.06456386486171,5.15936680974374,5.9661443364117
"F56C11.3",4.51240389345129,4.34139517425601,3.9393488348395,4.0559504764068,4.04853264715984,6.94182231486229,4.95530350290518,4.96849170101677,4.71539921228249,4.61312495361398,5.20503273281206
"F56C11.4",2.9373952434291,4.24770729581505,4.36292569995378,3.52752079451363,3.67422334667595,2.42549153139814,0.986425498661601,1.66501067005707,0.30013544184156,3.17146785985394,4.22135124430149
"K10E9.1",3.23472662826655,3.93557289592039,4.28149796490594,3.52829625546787,3.7931675902256,1.74778266327882,0.481709162540563,0.883316606235894,0.171930555892301,3.1678155222208,4.15466421337316
"Y48G1BL.2",3.20287216554144,3.82875342578597,4.24229000247822,3.56770362921738,4.07406009138683,2.24721054367708,1.09952413194442,1.2155295052404,0.370067167431487,3.30196509754791,3.76332658256796
"Y48G1BL.3",3.54858458583056,2.44206500856057,2.20730878543674,2.22848625526045,2.23122963041447,0.261717345608825,0.351433846130255,0.10702374202549,0,4.21627636036376,4.13453310650664
"Y48G1BL.1",1.58976348698498,0.923350782304459,1.10835048653946,1.05884983045767,0.950837159440675,1.05920989315183,1.0222470654983,1.22734061386956,0.527725956992196,2.28874244224324,2.03310226909754
"Y48G1BL.4",0,0,0,1.97170724169537,1.80542041429295,0,0,0,2.99837605443825,4.65997021258636,5.77151059806044
"Y48G1BL.5",1.58917382666402,0.430428732364689,0.902505068772984,0.291992467504677,0.490476685961866,0.462572747193268,0,0.452022881640655,0,3.88680374282413,3.98685687299395
"Y48G1BL.6",0.788560434982887,1.33930274364895,0.396101385443273,0,0.912912706503078,0,0,0,0,4.19096245569146,5.03010208498614
"Y48G1BM.9",1.24822513350911,1.44826137313313,1.71938498744127,2.63375668098196,1.7324298518551,0.210089570818531,0.0796623721225348,0.407326643698554,0.398718112194017,3.06501387434336,2.48888514694265
"Y48G1BR.1",1.2073618921364,2.50075617156657,2.76543078370986,2.90516795147751,2.24064099789089,0.397341882792639,0.592946364273333,5.03524216379172e-06,1.06354435879418,3.14142625104575,2.86244544001028
"C53D5.3",0,1.92754758646916,1.37275155493372,1.79650638877505,1.6310483899499,0,0,3.28007142703312,3.85791134609957,1.07896499998144,2.93819732646216
"C53D5.2",0.980320757331876,0.947585371091857,1.69109637678697,2.45329104975034,1.68494437892862,1.61446957121981,1.89895514817157,1.78841426633025,2.29027399241263,1.64601054391105,1.610284294426
"C53D5.4",4.74518353936549,4.76237539415835,4.51279576011628,4.14299334026755,4.55226639300566,3.60769722951834,2.89577180874096,3.18911133552817,2.31889235823325,3.00426766569544,3.54065967401973
"C53D5.1",3.7651315840689,3.81031970341108,3.48467952372343,3.51961738368386,3.18143177214337,2.81857859869802,2.22242127494873,2.67021037860801,1.56713165997407,4.43602854647554,4.6758667293991
"C53D5.5",1.92163817211701,2.12958966010017,3.01823534842373,2.62477001888492,2.77823591584098,2.76503395941308,2.72494707406836,2.94646699684109,2.77959592475874,3.45135092281699,2.99740984202736
"C53D5.6",8.78564209039865,8.74171977296387,8.84886076209123,8.65157914741112,8.59044857448482,6.00472159990489,6.33817835831541,5.71218580312848,4.78059881915877,7.57018966745085,8.37100119154167
"Y48G1A.5",8.62325966234274,8.26519776483192,8.27658506336355,7.80982599609745,7.71263704687746,3.85363642526951,3.8626993409766,3.4548115393605,3.48462797128316,6.05081727967674,7.07531869255335
"Y48G1A.4",3.26280295493953,3.65343841689014,4.06985680645262,3.68498700476655,3.75004904096397,3.44282276872976,2.17835451994448,2.87929799049535,1.24119952133825,4.26843439357638,4.05739828223666
