"","DauerEntryDAF2","DauerDAF2","DauerExitDAF2","YA","AdultSPE9"
"ZK328.1",4.41944450650783,4.82761581382173,4.48641833921763,5.03851519759939,4.99934162018327
"ZK328.8",0.59899398421732,0.557275777133162,0.926335755086469,0.131663493804767,0.257495861618559
"ZK328.6",2.7471789833796,2.4970374721894,2.18237448827581,2.05121894864207,0.788573798235123
"ZK328.7",1.39342169225797,1.9606599753718,1.32900300778587,0.268606859884861,0.263821662041146
"F40H6.4",0.104449252736335,0.106638973507934,0,0.898266407479084,4.46695986071325
"F40H6.1",0.145260072870233,0.125657581212231,0.312535069588578,4.45578749401004,0.759712346752652
"F40H6.6",3.12256008151932,3.28952317530441,2.46553310204445,3.25567898183778,3.46366168841712
"C05D10.2",3.70168212029528,4.06427067973052,2.73178713507525,1.49310929694398,1.65602035139851
"C05D10.1",5.71676871323216,5.12632452172396,4.89246388745938,4.41768376875542,4.43450813703989
"C05D10.3",3.30377052144183,2.69161456054515,1.91883271381695,1.42078958381338,1.32327206047474
"C05D10.4",5.73987509898568,4.65661649479843,3.896039293591,3.46737078738327,2.22436756088059
"T17E9.2",6.00141269840932,5.85476118984089,6.75177165891413,7.38179383285479,7.32731909944482
"T17E9.1",4.70498259633715,4.86349249361501,4.17957474401077,5.56902619997042,6.24046126301268
"Y42G9A.4",6.74289549085061,6.42210346184738,6.2381563068696,6.15366754401754,6.47963639146767
"Y42G9A.6",3.86815335941404,4.39275703428239,3.52752079451363,4.78911365362568,4.82785458356391
"Y42G9A.3",5.79681576143776,6.40304952889652,5.28945456447465,4.69394408697579,3.88502763749992
"Y42G9A.2",5.64190723562928,5.22756781266839,5.6561702686043,3.81449915407035,3.82634509744236
"Y42G9A.1",2.69686406564651,3.06816861724861,2.17550543954537,2.61940831508162,1.49050338500357
"F42A10.3",5.13881446890228,2.88156478215215,2.38020302363571,4.48639259427596,2.41850571379826
"F42A10.t2",11.8722554759557,0,0,0,0
"F42A10.2",4.05988303854353,4.08913370227982,3.70232508687581,3.8060559118785,3.26639527371483
"F42A10.9",2.88236719926175,1.45980929299097,3.43248377384837,5.26703758526111,3.84198317952697
"F42A10.5",5.86133260861408,5.66375448238335,6.95168103734449,6.95944560504262,7.37836422500492
"F42A10.4",5.96136634270822,6.9074795758416,5.5121510197493,5.35094271647635,6.18528380079041
"F42A10.1",5.82784188404074,6.31353428939002,5.96078506232797,6.10428423535059,5.676989477871
"F42A10.6",4.81464270377532,1.37602916297578,7.61765846510639,7.24418304090216,8.01056726721745
"F42A10.7",6.08766862277799,1.65379379296927,10.069691427138,5.74535029040645,5.37910106570026
"F42A10.8",3.98209003927158,1.41984088204406,0.75102231836599,0.683046926937597,0.458112129843467
"C23G10.5",1.733818531701,1.985835562952,1.60869571466459,1.47758408034818,0.451515513102058
"C23G10.6",6.65124977898778,7.24541009343705,5.48283537876173,2.41165131029123,1.04876628565546
"C23G10.7",4.93730201471529,5.61130814282916,4.82638577770603,6.17147506560098,5.23227701026829
"C23G10.4",6.13994829471978,6.69939893773701,6.2637349196554,7.1545751083709,7.83297859798269
"C23G10.8",4.7209624338807,5.35508323687773,4.92719009962643,5.47055964088323,5.7104152347071
"C23G10.3",11.6272146688412,12.4917579153922,13.3401978330189,11.6916824606526,10.8499601776087
"C23G10.2",6.58810895126713,6.3049581641725,8.32255012300857,7.65849713665648,7.20523609784985
"C23G10.1",0.138705705775924,0.189308416522975,0.0970693473164549,2.57936119789094,0.448615554668326
"C23G10.11",5.88585496957343,1.0805007659916,5.98795292988085,2.32364099933204,0.731466538203218
"T12A2.16",4.08848085496368,3.29595219210797,3.58391616747486,1.71146847535378,1.1835436812095
"T12A2.15",5.07111907828841,4.19060695933879,3.93662851728991,3.79315718338549,3.39441947742212
"T12A2.5",0.298009543404711,0.304266872757377,0.278010923797051,0.0454514982938614,0.0501825104841851
"T12A2.3",0.067878778976791,0,0,1.76691313440974,4.00130685030366
"T12A2.7",4.58409662390759,5.00193732011556,4.75377031688764,5.95084396989181,5.76482913839536
"T12A2.8",4.98245517221985,5.5224418645531,5.14982433210261,6.19636901439758,6.15367767623505
"T12A2.2",6.32697410281489,6.45336941716497,7.01370789903988,7.23328412726618,7.58100469358204
"T12A2.1",2.58940156958119,2.01149921694609,1.77205032783907,3.22701091944391,2.3077490884734
"C18F10.8",2.88272716336635,3.14565463272069,2.00569101267957,0.0399776508348553,0
"C18F10.7",4.16037972153026,4.81035055450915,3.97130442611134,6.11352548510775,6.73610422847427
"F47D12.4",6.55595109471549,6.33925677297331,6.22661064002673,6.57744846668274,6.70803545254449
"F47D12.5",0.906868281752658,1.78009168326148,1.10936724627189,0.257868736317593,0.556592253604422
"F47D12.6",6.48533826616276,5.51146171387161,6.69586857372956,4.9290145355719,3.93199500849713
"F47D12.7",0.506182487222665,0.252255781348366,0.144060731215314,3.60416623469425,0.625034775370753
"F47D12.3",4.43684810247715,3.98324901744563,4.04560896899775,2.95387050375293,2.05228024383335
"F47D12.9",6.50438522030084,6.57615930226259,5.43426125274893,6.4257966416536,7.08657148960285
"F47D12.1",4.41485940561779,4.46042804557587,4.24745666244511,2.08868437153339,1.98616333479416
"C56G2.5",0.0611319379337789,0.037329644387746,0.0155549449269871,2.94607953560954,2.53601061373136
"F47D12.10",6.78894666657714,6.53611819315031,0,0,0
"C56G2.4",2.69420269120733,2.51008591217437,2.41208507063963,1.29128528137209,0.814419170181374
"C56G2.16",0,7.32414453506063,8.60325542454685,0,0
"C56G2.19",0,2.24239855267044e-15,7.60725632749144,0,0
"C56G2.7",5.59355097761871,5.96740842181373,5.74422569240964,6.64262793359777,6.8371737675156
"C56G2.6",6.33333069979534,6.77319196717357,6.76929569827913,7.94726872980347,6.66687018544739
"C56G2.9",2.79111599206237,3.06504835203903,1.96133809465407,1.57971116302163,1.77519807032093
"C56G2.3",3.32188914159539,2.90284924153456,3.466457458003,3.14146385497131,2.83982256525265
"C56G2.18",9.88912974199737,8.64066069067089,0,1.66619303557666,1.93524851424457
"C56G2.1",7.92673481573681,8.05574879535504,7.435336892161,6.68379468895115,7.03413866505284
"C56G2.15",2.98201334961011,5.00953081213797,4.75216518800548,3.6674380191387,3.08963882030657
"C16A3.8",3.82142450455926,4.73741636593706,3.72982464363689,5.21039665772081,5.08313250696885
